127.0.0.1 - - [02/Jul/2023:09:33:49 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:33:53 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 7113
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:33:53 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:34:01 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 50878
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:34:01 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:34:04 +0700] "GET /CapstoneProject/contractshowprocess?id=21 HTTP/1.1" 200 10874
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:34:04 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:34:09 +0700] "GET /CapstoneProject/processshowstep?id=74 HTTP/1.1" 200 15490
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:34:10 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:34:17 +0700] "GET /CapstoneProject/stepremove?idStep=10 HTTP/1.1" 500 6028
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:40:50 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 50878
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:40:50 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:40:53 +0700] "GET /CapstoneProject/contractshowprocess?id=13 HTTP/1.1" 200 9010
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:40:53 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:40:56 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 50878
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:40:56 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:40:59 +0700] "GET /CapstoneProject/contractshowprocess?id=21 HTTP/1.1" 200 10874
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:40:59 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:41:03 +0700] "GET /CapstoneProject/processshowstep?id=74 HTTP/1.1" 200 15490
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:41:03 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:41:06 +0700] "GET /CapstoneProject/processupdateform?id=5 HTTP/1.1" 200 3967
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:41:06 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:42:04 +0700] "GET /CapstoneProject/stepremove?idStep=5 HTTP/1.1" 200 5928
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:42:04 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:42:13 +0700] "GET /CapstoneProject/stepremove?idStep=10 HTTP/1.1" 200 5929
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:42:13 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:50:04 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 50878
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:50:04 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:50:07 +0700] "GET /CapstoneProject/contractshowprocess?id=21 HTTP/1.1" 200 10874
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:50:07 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:50:10 +0700] "GET /CapstoneProject/processshowstep?id=74 HTTP/1.1" 200 15490
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:50:10 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:50:15 +0700] "GET /CapstoneProject/stepremove?idStep=10 HTTP/1.1" 200 14412
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:50:15 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:50:20 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 50877
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:50:20 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:50:25 +0700] "GET /CapstoneProject/contractshowprocess?id=21 HTTP/1.1" 200 10873
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:50:25 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:50:39 +0700] "GET /CapstoneProject/processshowstep?id=73 HTTP/1.1" 200 11188
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:50:40 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:50:49 +0700] "GET /CapstoneProject/stepremove?idStep=11 HTTP/1.1" 200 10066
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:50:49 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:50:59 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 50877
0:0:0:0:0:0:0:1 - - [02/Jul/2023:09:50:59 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
