127.0.0.1 - - [19/May/2023:11:01:11 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/May/2023:11:01:14 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 6587
0:0:0:0:0:0:0:1 - - [19/May/2023:11:01:21 +0700] "GET /CapstoneProject/loginPage HTTP/1.1" 200 4016
0:0:0:0:0:0:0:1 - - [19/May/2023:11:01:27 +0700] "POST /CapstoneProject/login HTTP/1.1" 200 4654
0:0:0:0:0:0:0:1 - - [19/May/2023:11:01:27 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [19/May/2023:11:01:31 +0700] "GET /CapstoneProject/stafflist HTTP/1.1" 200 5048
0:0:0:0:0:0:0:1 - - [19/May/2023:11:01:31 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [19/May/2023:11:29:21 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [19/May/2023:11:29:27 +0700] "GET /CapstoneProject/stafflist HTTP/1.1" 500 5401
0:0:0:0:0:0:0:1 - - [19/May/2023:11:29:46 +0700] "GET /CapstoneProject/stafflist HTTP/1.1" 200 9631
0:0:0:0:0:0:0:1 - - [19/May/2023:11:29:46 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [19/May/2023:11:30:01 +0700] "GET /CapstoneProject/stafflist HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [19/May/2023:11:30:01 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [19/May/2023:11:30:04 +0700] "GET /CapstoneProject/stafflist HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [19/May/2023:11:30:04 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [19/May/2023:11:30:05 +0700] "GET /CapstoneProject/stafflist HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [19/May/2023:11:30:05 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [19/May/2023:11:30:05 +0700] "GET /CapstoneProject/stafflist HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [19/May/2023:11:30:05 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [19/May/2023:11:30:05 +0700] "GET /CapstoneProject/stafflist HTTP/1.1" 200 4786
0:0:0:0:0:0:0:1 - - [19/May/2023:11:30:05 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [19/May/2023:11:30:05 +0700] "GET /CapstoneProject/stafflist HTTP/1.1" 200 4786
