127.0.0.1 - - [25/May/2023:09:22:48 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/May/2023:09:23:00 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 6587
0:0:0:0:0:0:0:1 - - [25/May/2023:09:23:01 +0700] "GET /CapstoneProject/resources/css/style-customer-homepage.css HTTP/1.1" 200 4498
0:0:0:0:0:0:0:1 - - [25/May/2023:09:23:01 +0700] "GET /CapstoneProject/resources/css/style-customer-header.css HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [25/May/2023:09:23:01 +0700] "GET /CapstoneProject/resources/css/style-customer-footer.css HTTP/1.1" 200 962
0:0:0:0:0:0:0:1 - - [25/May/2023:09:23:05 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [25/May/2023:09:23:08 +0700] "GET /CapstoneProject/supplier HTTP/1.1" 200 6942
0:0:0:0:0:0:0:1 - - [25/May/2023:09:23:08 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [25/May/2023:09:23:08 +0700] "GET /CapstoneProject/resources/css/style-page-admin.css HTTP/1.1" 200 16574
0:0:0:0:0:0:0:1 - - [25/May/2023:09:23:09 +0700] "GET /CapstoneProject/resources/js/js-page-admin.js HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [25/May/2023:09:23:44 +0700] "GET /CapstoneProject/inventory HTTP/1.1" 200 11470
0:0:0:0:0:0:0:1 - - [25/May/2023:09:23:44 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [25/May/2023:09:23:47 +0700] "GET /CapstoneProject/supplier HTTP/1.1" 200 6942
0:0:0:0:0:0:0:1 - - [25/May/2023:09:23:47 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [25/May/2023:09:24:52 +0700] "GET /CapstoneProject/supplierdelete?id=5 HTTP/1.1" 302 -
