127.0.0.1 - - [01/Jul/2023:18:34:21 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Jul/2023:18:34:24 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 7113
0:0:0:0:0:0:0:1 - - [01/Jul/2023:18:34:25 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [01/Jul/2023:18:34:38 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:18:34:38 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 50875
0:0:0:0:0:0:0:1 - - [01/Jul/2023:18:34:44 +0700] "GET /CapstoneProject/contractshowprocess?id=21 HTTP/1.1" 200 10657
0:0:0:0:0:0:0:1 - - [01/Jul/2023:18:34:44 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:18:34:51 +0700] "GET /CapstoneProject/processshowstep?id=74 HTTP/1.1" 200 4933
0:0:0:0:0:0:0:1 - - [01/Jul/2023:18:34:51 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:09:57 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 50875
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:09:57 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:10:04 +0700] "GET /CapstoneProject/contractshowprocess?id=21 HTTP/1.1" 200 10763
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:10:04 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:10:06 +0700] "GET /CapstoneProject/processshowstep?id=74 HTTP/1.1" 200 5306
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:10:06 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:16:12 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 50875
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:16:12 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:16:15 +0700] "GET /CapstoneProject/contractshowprocess?id=21 HTTP/1.1" 200 10763
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:16:15 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:16:17 +0700] "GET /CapstoneProject/processshowstep?id=74 HTTP/1.1" 200 6522
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:16:17 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:16:59 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 50875
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:16:59 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:17:01 +0700] "GET /CapstoneProject/contractshowprocess?id=13 HTTP/1.1" 200 8966
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:17:01 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:17:05 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 50875
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:17:05 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:17:11 +0700] "GET /CapstoneProject/contractshowprocess?id=21 HTTP/1.1" 200 10763
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:17:11 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:17:13 +0700] "GET /CapstoneProject/processshowstep?id=74 HTTP/1.1" 200 7727
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:17:13 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:18:25 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 50875
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:18:25 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:18:27 +0700] "GET /CapstoneProject/contractshowprocess?id=13 HTTP/1.1" 200 8966
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:18:27 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:18:31 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 50875
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:18:31 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:18:34 +0700] "GET /CapstoneProject/contractshowprocess?id=21 HTTP/1.1" 200 10763
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:18:34 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:18:38 +0700] "GET /CapstoneProject/processshowstep?id=74 HTTP/1.1" 200 7766
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:18:38 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:19:09 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 50875
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:19:09 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:19:12 +0700] "GET /CapstoneProject/contractshowprocess?id=21 HTTP/1.1" 200 10763
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:19:12 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:19:15 +0700] "GET /CapstoneProject/processshowstep?id=74 HTTP/1.1" 200 7766
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:19:15 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:22:04 +0700] "GET /CapstoneProject/processshowstep?id=74 HTTP/1.1" 200 7766
0:0:0:0:0:0:0:1 - - [01/Jul/2023:19:22:04 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:21:03:09 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 50875
0:0:0:0:0:0:0:1 - - [01/Jul/2023:21:03:09 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:21:03:13 +0700] "GET /CapstoneProject/contractshowprocess?id=21 HTTP/1.1" 200 10763
0:0:0:0:0:0:0:1 - - [01/Jul/2023:21:03:13 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:21:03:20 +0700] "GET /CapstoneProject/processshowstep?id=74 HTTP/1.1" 200 7845
0:0:0:0:0:0:0:1 - - [01/Jul/2023:21:03:20 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:21:04:05 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 50875
0:0:0:0:0:0:0:1 - - [01/Jul/2023:21:04:05 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:21:04:07 +0700] "GET /CapstoneProject/contractshowprocess?id=21 HTTP/1.1" 200 10763
0:0:0:0:0:0:0:1 - - [01/Jul/2023:21:04:07 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:21:04:11 +0700] "GET /CapstoneProject/processshowstep?id=74 HTTP/1.1" 200 8693
0:0:0:0:0:0:0:1 - - [01/Jul/2023:21:04:11 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jul/2023:21:04:58 +0700] "GET /CapstoneProject/processshowstep?id=74 HTTP/1.1" 200 8693
