127.0.0.1 - - [26/Jun/2023:09:51:53 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Jun/2023:09:52:02 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 7113
0:0:0:0:0:0:0:1 - - [26/Jun/2023:09:52:03 +0700] "GET /CapstoneProject/resources/css/style-customer-homepage.css HTTP/1.1" 200 4498
0:0:0:0:0:0:0:1 - - [26/Jun/2023:09:52:03 +0700] "GET /CapstoneProject/resources/css/style-customer-header.css HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [26/Jun/2023:09:52:03 +0700] "GET /CapstoneProject/resources/css/style-customer-footer.css HTTP/1.1" 200 962
0:0:0:0:0:0:0:1 - - [26/Jun/2023:09:52:05 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [26/Jun/2023:09:58:15 +0700] "GET /CapstoneProject/schedule HTTP/1.1" 200 7552
0:0:0:0:0:0:0:1 - - [26/Jun/2023:09:59:03 +0700] "GET /CapstoneProject/schedule HTTP/1.1" 200 7549
0:0:0:0:0:0:0:1 - - [26/Jun/2023:09:59:10 +0700] "GET /CapstoneProject/schedule HTTP/1.1" 200 7552
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:00:24 +0700] "GET /CapstoneProject/schedule HTTP/1.1" 200 7552
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:00:26 +0700] "GET /CapstoneProject/schedule HTTP/1.1" 200 7552
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:01:18 +0700] "GET /CapstoneProject/schedule HTTP/1.1" 500 3888
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:01:25 +0700] "GET /CapstoneProject/schedule HTTP/1.1" 200 7552
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:02:13 +0700] "GET /CapstoneProject/schedule HTTP/1.1" 200 7552
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:05:00 +0700] "GET /CapstoneProject/schedule HTTP/1.1" 200 7553
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:06:22 +0700] "GET /CapstoneProject/schedule HTTP/1.1" 200 7639
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:06:42 +0700] "POST /CapstoneProject/customerschedule HTTP/1.1" 200 7165
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:06:49 +0700] "GET /CapstoneProject/loginPage HTTP/1.1" 200 4249
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:06:53 +0700] "POST /CapstoneProject/login HTTP/1.1" 200 7798
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:06:53 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:06:53 +0700] "GET /CapstoneProject/resources/css/style-page-admin.css HTTP/1.1" 200 16574
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:06:54 +0700] "GET /CapstoneProject/resources/js/js-page-admin.js HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:10:21 +0700] "GET /CapstoneProject/schedule HTTP/1.1" 200 7663
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:10:45 +0700] "POST /CapstoneProject/customerschedule HTTP/1.1" 400 686
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:10:52 +0700] "POST /CapstoneProject/customerschedule HTTP/1.1" 400 686
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:13:03 +0700] "GET /CapstoneProject/schedule HTTP/1.1" 200 7722
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:13:29 +0700] "POST /CapstoneProject/customerschedule HTTP/1.1" 400 686
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:14:12 +0700] "POST /CapstoneProject/customerschedule HTTP/1.1" 400 686
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:14:57 +0700] "GET /CapstoneProject/schedule HTTP/1.1" 200 7720
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:15:02 +0700] "POST /CapstoneProject/customerschedule HTTP/1.1" 200 7165
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:16:18 +0700] "GET /CapstoneProject/schedule HTTP/1.1" 200 7808
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:16:53 +0700] "POST /CapstoneProject/customerschedule HTTP/1.1" 200 7165
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:16:58 +0700] "GET /CapstoneProject/loginPage HTTP/1.1" 200 4249
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:17:06 +0700] "POST /CapstoneProject/login HTTP/1.1" 200 8909
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:17:06 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:17:13 +0700] "GET /CapstoneProject/createcontractwithcustomerform?id=3 HTTP/1.1" 200 5327
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:17:13 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:17:22 +0700] "GET /CapstoneProject/createcontractwithcustomerform?id=3 HTTP/1.1" 200 5327
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:17:22 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:17:52 +0700] "GET /CapstoneProject/inventory HTTP/1.1" 200 12932
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:17:52 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:17:57 +0700] "GET /CapstoneProject/schedule HTTP/1.1" 200 7808
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:18:07 +0700] "GET /CapstoneProject/supplier HTTP/1.1" 200 6565
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:18:07 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:18:08 +0700] "GET /CapstoneProject/suppliercreateform HTTP/1.1" 200 4200
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:18:09 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:18:15 +0700] "GET /CapstoneProject/productcreateform HTTP/1.1" 200 4213
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:18:15 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:18:18 +0700] "GET /CapstoneProject/inventory HTTP/1.1" 200 12932
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:18:18 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:18:25 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:18:25 +0700] "GET /CapstoneProject/bill HTTP/1.1" 200 69530
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:18:27 +0700] "GET /CapstoneProject/billcreate HTTP/1.1" 200 5679
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:18:27 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:18:31 +0700] "GET /CapstoneProject/inventory HTTP/1.1" 200 12932
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:18:31 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:18:35 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 25551
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:18:35 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:18:39 +0700] "GET /CapstoneProject/contractcreateform HTTP/1.1" 200 5403
0:0:0:0:0:0:0:1 - - [26/Jun/2023:10:18:39 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
