127.0.0.1 - - [06/Jul/2023:09:51:38 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:51:43 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 7113
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:51:44 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:52:04 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:52:04 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:53:04 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10881
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:53:04 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:53:24 +0700] "GET /CapstoneProject/processshowstep?id=78 HTTP/1.1" 200 21625
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:53:24 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:53:48 +0700] "POST /CapstoneProject/stepaddnewstep HTTP/1.1" 200 23874
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:53:48 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:53:58 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:53:59 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56371
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:54:02 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10882
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:54:02 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:54:04 +0700] "GET /CapstoneProject/processshowstep?id=78 HTTP/1.1" 200 23879
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:54:04 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:54:21 +0700] "POST /CapstoneProject/stepaddnewstep HTTP/1.1" 200 26216
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:54:21 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:54:22 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56371
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:54:22 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:55:52 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10882
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:55:52 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:56:36 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56371
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:56:36 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:56:40 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10888
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:56:40 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:56:44 +0700] "GET /CapstoneProject/processshowstep?id=78 HTTP/1.1" 200 26222
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:56:44 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:59:55 +0700] "GET /CapstoneProject/stepupdateform?id=56 HTTP/1.1" 200 5926
0:0:0:0:0:0:0:1 - - [06/Jul/2023:09:59:55 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [06/Jul/2023:10:00:01 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56371
0:0:0:0:0:0:0:1 - - [06/Jul/2023:10:00:01 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [06/Jul/2023:10:00:05 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10888
0:0:0:0:0:0:0:1 - - [06/Jul/2023:10:00:05 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [06/Jul/2023:10:00:07 +0700] "GET /CapstoneProject/processshowstep?id=78 HTTP/1.1" 200 26222
0:0:0:0:0:0:0:1 - - [06/Jul/2023:10:00:07 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [06/Jul/2023:10:12:11 +0700] "GET /CapstoneProject/stepupdateform?id=56 HTTP/1.1" 200 6515
0:0:0:0:0:0:0:1 - - [06/Jul/2023:10:12:11 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
