127.0.0.1 - - [22/Jun/2023:09:15:42 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Jun/2023:09:15:48 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 7113
0:0:0:0:0:0:0:1 - - [22/Jun/2023:09:15:48 +0700] "GET /CapstoneProject/resources/css/style-customer-header.css HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [22/Jun/2023:09:15:48 +0700] "GET /CapstoneProject/resources/css/style-customer-homepage.css HTTP/1.1" 200 4498
0:0:0:0:0:0:0:1 - - [22/Jun/2023:09:15:48 +0700] "GET /CapstoneProject/resources/css/style-customer-footer.css HTTP/1.1" 200 962
0:0:0:0:0:0:0:1 - - [22/Jun/2023:09:15:51 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [22/Jun/2023:09:17:15 +0700] "GET /CapstoneProject/information HTTP/1.1" 200 9438
0:0:0:0:0:0:0:1 - - [22/Jun/2023:09:17:15 +0700] "GET /CapstoneProject/resources/css/style-customer-information.css HTTP/1.1" 200 2118
0:0:0:0:0:0:0:1 - - [22/Jun/2023:09:17:27 +0700] "GET /CapstoneProject/control HTTP/1.1" 200 11550
0:0:0:0:0:0:0:1 - - [22/Jun/2023:09:17:27 +0700] "GET /CapstoneProject/resources/css/style-customer-control.css HTTP/1.1" 200 2113
0:0:0:0:0:0:0:1 - - [22/Jun/2023:09:17:29 +0700] "GET /CapstoneProject/information HTTP/1.1" 200 9438
0:0:0:0:0:0:0:1 - - [22/Jun/2023:09:17:32 +0700] "GET /CapstoneProject/informationmouse HTTP/1.1" 200 11410
0:0:0:0:0:0:0:1 - - [22/Jun/2023:09:17:33 +0700] "GET /CapstoneProject/resources/css/style-customer-information-detail.css HTTP/1.1" 200 3344
0:0:0:0:0:0:0:1 - - [22/Jun/2023:09:18:05 +0700] "GET /CapstoneProject/control HTTP/1.1" 200 11550
0:0:0:0:0:0:0:1 - - [22/Jun/2023:09:18:14 +0700] "GET /CapstoneProject/controlmouse HTTP/1.1" 200 12290
0:0:0:0:0:0:0:1 - - [22/Jun/2023:09:18:14 +0700] "GET /CapstoneProject/resources/css/style-customer-control-detail.css HTTP/1.1" 200 5069
0:0:0:0:0:0:0:1 - - [22/Jun/2023:09:19:01 +0700] "GET /CapstoneProject/schedule HTTP/1.1" 200 7552
0:0:0:0:0:0:0:1 - - [22/Jun/2023:09:19:35 +0700] "GET /CapstoneProject/loginPage HTTP/1.1" 200 4253
0:0:0:0:0:0:0:1 - - [22/Jun/2023:09:19:46 +0700] "GET /CapstoneProject/processPage HTTP/1.1" 200 7177
0:0:0:0:0:0:0:1 - - [22/Jun/2023:09:20:09 +0700] "POST /CapstoneProject/customercontract HTTP/1.1" 200 7139
0:0:0:0:0:0:0:1 - - [22/Jun/2023:09:20:09 +0700] "GET /CapstoneProject/resources/css/style-page-admin.css HTTP/1.1" 200 16574
0:0:0:0:0:0:0:1 - - [22/Jun/2023:09:20:09 +0700] "GET /CapstoneProject/resources/js/js-page-admin.js HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [22/Jun/2023:09:20:56 +0700] "GET /CapstoneProject/information HTTP/1.1" 200 9438
0:0:0:0:0:0:0:1 - - [22/Jun/2023:09:21:00 +0700] "GET /CapstoneProject/control HTTP/1.1" 200 11550
0:0:0:0:0:0:0:1 - - [22/Jun/2023:09:21:23 +0700] "GET /CapstoneProject/processPage HTTP/1.1" 200 7177
0:0:0:0:0:0:0:1 - - [22/Jun/2023:09:21:27 +0700] "GET /CapstoneProject/loginPage HTTP/1.1" 200 4253
