0:0:0:0:0:0:0:1 - - [05/Jul/2023:16:56:44 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [05/Jul/2023:16:56:44 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:16:56:46 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [05/Jul/2023:16:56:46 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:16:56:48 +0700] "GET /CapstoneProject/processshowstep?id=78 HTTP/1.1" 200 9349
0:0:0:0:0:0:0:1 - - [05/Jul/2023:16:56:48 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:16:57:02 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [05/Jul/2023:16:57:02 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:16:57:04 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [05/Jul/2023:16:57:04 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:16:57:06 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 10517
0:0:0:0:0:0:0:1 - - [05/Jul/2023:16:57:06 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:16:58:01 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [05/Jul/2023:16:58:02 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:16:58:03 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [05/Jul/2023:16:58:03 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:16:58:05 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 10521
0:0:0:0:0:0:0:1 - - [05/Jul/2023:16:58:05 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:16:59:04 +0700] "POST /CapstoneProject/stepaddnewstep HTTP/1.1" 500 8251
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:01:51 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:01:51 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:01:55 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:01:55 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:01:57 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:01:57 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:08:42 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:08:42 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:08:44 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:08:44 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:08:45 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:08:45 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:10:43 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:10:43 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:10:45 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:10:45 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:10:47 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:10:47 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:11:53 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [05/Jul/2023:17:11:53 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
