127.0.0.1 - - [26/May/2023:10:35:18 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/May/2023:10:35:21 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 6587
0:0:0:0:0:0:0:1 - - [26/May/2023:10:35:21 +0700] "GET /CapstoneProject/resources/css/style-customer-homepage.css HTTP/1.1" 200 4498
0:0:0:0:0:0:0:1 - - [26/May/2023:10:35:21 +0700] "GET /CapstoneProject/resources/css/style-customer-header.css HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [26/May/2023:10:35:21 +0700] "GET /CapstoneProject/resources/css/style-customer-footer.css HTTP/1.1" 200 962
0:0:0:0:0:0:0:1 - - [26/May/2023:10:35:23 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [26/May/2023:10:35:39 +0700] "GET /CapstoneProject/loginPage HTTP/1.1" 200 4016
0:0:0:0:0:0:0:1 - - [26/May/2023:10:35:48 +0700] "POST /CapstoneProject/login HTTP/1.1" 200 2821
0:0:0:0:0:0:0:1 - - [26/May/2023:10:35:48 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [26/May/2023:10:35:48 +0700] "GET /CapstoneProject/resources/css/style-page-admin.css HTTP/1.1" 200 16574
0:0:0:0:0:0:0:1 - - [26/May/2023:10:35:48 +0700] "GET /CapstoneProject/resources/js/js-page-admin.js HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [26/May/2023:10:35:53 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 6872
0:0:0:0:0:0:0:1 - - [26/May/2023:10:35:54 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [26/May/2023:11:06:18 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 6872
0:0:0:0:0:0:0:1 - - [26/May/2023:11:06:18 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [26/May/2023:11:06:23 +0700] "POST /CapstoneProject/staffsearch HTTP/1.1" 200 5030
0:0:0:0:0:0:0:1 - - [26/May/2023:11:06:23 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [26/May/2023:11:07:28 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 6872
0:0:0:0:0:0:0:1 - - [26/May/2023:11:07:28 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [26/May/2023:11:08:07 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 6881
0:0:0:0:0:0:0:1 - - [26/May/2023:11:08:07 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [26/May/2023:11:08:10 +0700] "POST /CapstoneProject/contractsearch HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [26/May/2023:11:08:10 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [26/May/2023:11:08:14 +0700] "POST /CapstoneProject/contractsearch HTTP/1.1" 200 6881
0:0:0:0:0:0:0:1 - - [26/May/2023:11:08:14 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [26/May/2023:11:08:17 +0700] "POST /CapstoneProject/contractsearch HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [26/May/2023:11:08:17 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [26/May/2023:11:08:21 +0700] "POST /CapstoneProject/contractsearch HTTP/1.1" 200 6881
0:0:0:0:0:0:0:1 - - [26/May/2023:11:08:21 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [26/May/2023:11:08:25 +0700] "POST /CapstoneProject/contractsearch HTTP/1.1" 200 5748
0:0:0:0:0:0:0:1 - - [26/May/2023:11:08:25 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
