127.0.0.1 - - [01/Jun/2023:09:15:38 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:15:43 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 6587
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:15:43 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:22:02 +0700] "GET /CapstoneProject/loginPage HTTP/1.1" 200 4016
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:22:12 +0700] "POST /CapstoneProject/login HTTP/1.1" 200 2821
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:22:12 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:22:15 +0700] "GET /CapstoneProject/inventory HTTP/1.1" 200 12952
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:22:15 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:22:18 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 12149
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:22:18 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:22:26 +0700] "POST /CapstoneProject/contractsearch HTTP/1.1" 200 7129
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:22:26 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:22:36 +0700] "POST /CapstoneProject/contractsearch HTTP/1.1" 200 12149
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:22:36 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:22:45 +0700] "GET /CapstoneProject/contractshowprocess?id=1 HTTP/1.1" 200 8687
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:22:45 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:30:34 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 12149
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:30:34 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:30:38 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 12149
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:30:38 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:30:41 +0700] "GET /CapstoneProject/contractupdateform?id=7 HTTP/1.1" 200 5656
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:30:41 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:30:48 +0700] "GET /CapstoneProject/contractshowprocess?id=3 HTTP/1.1" 200 7030
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:30:48 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:38:12 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 12154
0:0:0:0:0:0:0:1 - - [01/Jun/2023:09:38:12 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:07:50 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 12157
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:07:50 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:07:51 +0700] "GET /CapstoneProject/contractcreateform HTTP/1.1" 200 4261
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:07:51 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:08:15 +0700] "GET /CapstoneProject/contractcreateform HTTP/1.1" 200 4261
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:08:15 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:08:24 +0700] "GET /CapstoneProject/contractcreateform HTTP/1.1" 200 4261
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:08:24 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:08:46 +0700] "GET /CapstoneProject/contractcreateform HTTP/1.1" 200 4261
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:08:46 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:09:00 +0700] "GET /CapstoneProject/contractcreateform HTTP/1.1" 200 4268
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:09:00 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:09:02 +0700] "GET /CapstoneProject/contractcreateform HTTP/1.1" 200 4268
0:0:0:0:0:0:0:1 - - [01/Jun/2023:10:09:02 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
