127.0.0.1 - - [04/Jul/2023:16:25:00 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:25:03 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 7113
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:25:03 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:25:06 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:25:06 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:25:08 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:25:08 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:25:11 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:25:11 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:25:16 +0700] "GET /CapstoneProject/processshowstep?id=78 HTTP/1.1" 500 3874
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:25:21 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 500 3874
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:25:46 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:25:46 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:25:47 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:25:47 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:25:50 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 10226
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:25:50 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:26:56 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:26:56 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:26:58 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:26:58 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:26:59 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 10309
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:26:59 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:27:03 +0700] "POST /CapstoneProject/stepaddnewstep HTTP/1.1" 200 11425
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:27:03 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:27:07 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:27:07 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:27:10 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:27:10 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:27:12 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 11432
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:27:12 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:29:45 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:29:45 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:29:47 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:29:47 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:29:49 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 11432
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:29:49 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:30:37 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:30:37 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:30:40 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:30:40 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:30:42 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 11418
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:30:42 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:31:26 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:31:26 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:31:28 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:31:28 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:31:30 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 11505
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:31:30 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:32:13 +0700] "GET /CapstoneProject/contract HTTP/1.1" 200 56370
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:32:13 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:32:16 +0700] "GET /CapstoneProject/contractshowprocess?id=23 HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:32:16 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:32:18 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 11459
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:32:18 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:32:55 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 11460
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:32:55 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:32:57 +0700] "GET /CapstoneProject/processshowstep?id=77 HTTP/1.1" 200 11460
0:0:0:0:0:0:0:1 - - [04/Jul/2023:16:32:57 +0700] "GET /resources/css/style-page-admin.css HTTP/1.1" 404 715
