0:0:0:0:0:0:0:1 - - [23/Apr/2023:08:36:15 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8062
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:15:32 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8150
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:16:29 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8183
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:16:30 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8183
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:16:35 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8182
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:16:41 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8183
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:17:01 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8186
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:17:07 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8185
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:17:31 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8185
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:17:33 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8185
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:17:35 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8185
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:17:41 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8095
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:18:29 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8095
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:18:37 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8095
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:19:33 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8095
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:19:41 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8101
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:19:55 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8102
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:20:06 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8095
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:22:32 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8131
0:0:0:0:0:0:0:1 - - [23/Apr/2023:10:22:36 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 8131
