127.0.0.1 - - [19/Apr/2023:09:26:52 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:27:01 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1721
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:27:04 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:27:04 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:45:29 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1721
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:45:31 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1721
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:45:31 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1721
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:45:32 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1721
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:45:39 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1723
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:45:46 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1721
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:45:52 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1721
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:47:11 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2140
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:47:57 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2177
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:48:03 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2177
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:49:17 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2177
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:49:19 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2177
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:49:20 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2177
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:49:21 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2177
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:49:21 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2177
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:49:21 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2177
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:49:21 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2177
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:49:22 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2177
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:49:26 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2108
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:50:24 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:51:11 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:52:31 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:52:36 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:52:40 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:52:41 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:52:43 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:52:47 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:52:50 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:52:51 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:52:51 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:52:52 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:52:53 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:52:55 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:52:56 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:53:37 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:54:04 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:54:05 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:54:11 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 9333
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:54:11 +0700] "GET /CapstoneProject/resources/css/style-page-information.css HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:54:11 +0700] "GET /CapstoneProject/resources/css/style-page-customer.css HTTP/1.1" 200 39154
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:54:11 +0700] "GET /CapstoneProject/resources/css/style-page-customer-main.css HTTP/1.1" 200 28905
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:55:02 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:55:37 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 2153
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:59:59 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 11492
0:0:0:0:0:0:0:1 - - [19/Apr/2023:09:59:59 +0700] "GET /CapstoneProject/resources/css/style-page-information.css HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:00:52 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 11465
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:00:52 +0700] "GET /CapstoneProject/resources/css/style-page-information.css HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:03:29 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 11444
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:03:29 +0700] "GET /CapstoneProject/resources/css/style-page-information.css HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:04:04 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 11464
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:04:04 +0700] "GET /CapstoneProject/resources/css/style-page-information.css HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:04:11 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 11464
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:04:11 +0700] "GET /CapstoneProject/resources/css/style-page-information.css HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:04:33 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 11464
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:04:33 +0700] "GET /CapstoneProject/resources/css/style-page-information.css HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:13:24 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 11464
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:13:24 +0700] "GET /CapstoneProject/resources/css/style-page-information.css HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:17:24 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:17:53 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:17:59 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:18:21 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:18:22 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:18:24 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:18:25 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:18:25 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:18:25 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:18:25 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:18:25 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:18:26 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:18:27 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:18:34 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 11464
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:18:34 +0700] "GET /CapstoneProject/resources/css/style-page-information.css HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:18:37 +0700] "GET /CapstoneProject/resources/css/style-page-information.css HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:19:07 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:21:36 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:22:23 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:22:44 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:24:09 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1021
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:24:19 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:24:38 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:24:47 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:24:58 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:25:08 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:25:20 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:25:21 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:25:21 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:25:21 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:25:21 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:25:21 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:27:37 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1043
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:27:59 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:28:00 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:28:11 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:28:12 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:28:13 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:28:13 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:28:13 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:28:14 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:28:14 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:28:14 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:28:14 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:28:14 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:28:14 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:28:14 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:28:18 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [19/Apr/2023:10:28:19 +0700] "GET /CapstoneProject/ HTTP/1.1" 200 1074
